Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\win32kbase.sys

File Type: EXECUTABLE IMAGE

  Section contains the following exports for win32kbase.sys

    00000000 characteristics
    C70CD32F time date stamp
        0.00 version
           1 ordinal base
        2493 number of functions
        2493 number of names

    ordinal hint RVA      name

        211   C5 0014D210 ?SetGlobalTickCount@CInputGlobals@@QEAAXW4INPUT_GLOBALS_TICK_COUNT@@_K@Z
        212   C6 00147760 ?SetPointerBarrelVisualization@CTouchProcessor@@QEAAXGH@Z
        213   C7 001479E0 ?SetPointerFrameTargetWindows@CTouchProcessor@@QEAAHPEAUtagTHREADINFO@@_KIPEAH@Z
        214   C8 00148A60 ?SetPointerInfoNodeFlagFromEdition@CTouchProcessor@@QEAAHKGI@Z
        215   C9 00149110 ?SetPointerVisualization@CTouchProcessor@@QEAAHGHPEAHH@Z
        216   CA 000932B0 ?SetPtiLastWoken@CInputGlobals@@QEAAXPEAUtagTHREADINFO@@_N@Z
        217   CB 0003C3B0 ?SetSystemVisual@CHwndTargetProp@@QEAAJHPEAUCompositionObject@@@Z
        218   CC 00135870 ?StopFilterKeysTimers@@YAXXZ
        219   CD 00149C60 ?SuppressDeadzoneContactsInFrameAndGetNext@CTouchProcessor@@QEAAPEAXPEAX0UtagPOINT@@@Z
        220   CE 00149D80 ?ThreadHasPrimaryCapture@CTouchProcessor@@QEAAHQEAUtagTHREADINFO@@G@Z
        221   CF 00097080 ?TmpGetDeviceList@CBaseInput@@QEAAPEAUDEVICEINFO@@XZ
        222   D0 00098490 ?TmpGetLock@CBaseInput@@QEAAAEAUCInpPushLock@@XZ
        223   D1 001358C0 ?ToggleKeys@@YAHPEAUtagKE@@KH@Z
        224   D2 0008AB60 ?TransferTokens@SfmTokenArray@@QEAAJPEAV1@@Z
        225   D3 00135A50 ?TurnOffMouseKeys@@YAXXZ
        226   D4 0009DE40 ?UnLock@CInpLockGuard@@QEAAXXZ
        227   D5 0006C140 ?UnLock@tagObjLock@@QEAAXXZ
        228   D6 0004B760 ?UnLockExclusive@CInpPushLock@@QEAAXXZ
        229   D7 00062D40 ?UnLockShared@CInpPushLock@@QEAAXXZ
        230   D8 000FCF60 ?Unlock@CMutex@OPM@@QEAAXXZ
        231   D9 00032160 ?UnlockAndRelease@CInputSink@@QEBA_NXZ
        232   DA 0014A550 ?UnreferenceMsgDataExternal@CTouchProcessor@@QEAAX_KW4tagPOINTERMSGDATA_REFTYPE@@PEAX@Z
        233   DB 0014A620 ?UnreferenceUndispatchedFrame@CTouchProcessor@@QEAAXPEAU_LIST_ENTRY@@@Z
        234   DC 000A4750 ?UpdateGlobalTickCount@CInputGlobals@@QEAA_NW4INPUT_GLOBALS_TICK_COUNT@@@Z
        235   DD 0005E560 ?UpdateInputGlobals@CInputGlobals@@QEAA_N_KW4_LINP_SOURCE@@GKK@Z
        236   DE 00044D20 ?UpdateKeyboardLEDs@CKeyboardSensor@@QEAAXXZ
        237   DF 0005D6E0 ?UpdateLastInputTime@CInputGlobals@@QEAAX_KW4_LINP_SOURCE@@@Z
        238   E0 0014B320 ?UpdatePointerInfoTarget@CTouchProcessor@@QEAAH_KUtagINPUTDEST@@HHPEAUtagPOINT@@2@Z
        239   E1 00017880 ?UpdateThreadPointerList@CTouchProcessor@@QEAAXPEAUtagTHREADINPUTPOINTERLIST@@G@Z
        240   E2 00019ED0 ?UpdateUserRgn@RGNOBJ@@QEAAXXZ
        242   E3 0014DDA0 ?Wait@IOCPDispatcher@@QEAAJPEAT_LARGE_INTEGER@@EPEAU_FILE_IO_COMPLETION_INFORMATION@@@Z
        243   E4 00044A90 ?WaitAndDispatch@LegacyInputDispatcher@@QEAAJXZ
        244   E5 0014E440 ?WaitForGuard@CInpLockGuard@@QEAAJXZ
        245   E6 0014CD50 ?WaitForMITPnpUserModeCallbacksToComplete@InputExtensibilityCallout@@QEAAXXZ
        246   E7 0014DE60 ?WaitForMessagesOrCustomInputEventsAndDispatch@LegacyInputDispatcher@@QEAAJXZ
        247   E8 0014D270 ?WasLastInputInjected@CInputGlobals@@QEBA_NXZ
        248   E9 0014D2D0 ?WasLastInputJournalling@CInputGlobals@@QEBA_NXZ
        249   EA 001D1FA0 ?_spfnInputHitTestCallback@CSpatialProcessor@@2P6AHPEAU_InputHitTestRequest@@PEAU_InputHitTestResult@@@ZEA
        250   EB 000FC9A0 ?bAddIcmDIB@BRUSH@@QEAAHPEAXPEAUHBITMAP__@@@Z
        251   EC 000FD690 ?bAllClosed@EPATHOBJ@@QEAAHXZ
        252   ED 00041580 ?bAllowShareAccess@PDEVOBJ@@QEAAHXZ
        253   EE 000FD6C0 ?bAppend@EPATHOBJ@@QEAAHPEAV1@PEAU_POINTFIX@@@Z
        254   EF 0001D210 ?bCleanDC@XDCOBJ@@QEAAHH@Z
        255   F0 000A81E0 ?bClone@EPATHOBJ@@QEAAHAEAV1@@Z
        256   F1 00080FE0 ?bCloseFigure@EPATHOBJ@@QEAAHXZ
        257   F2 000161C0 ?bCompute@DC@@QEAAHXZ
        258   F3 000FD1C0 ?bComputeUnits@EXFORMOBJ@@QEAAHJPEAVPOINTFL@@PEAVEFLOAT@@1@Z
        260   F4 00011590 ?bCopy@RGNOBJ@@QEAAHAEAV1@@Z
        261   F5 00013B40 ?bCopy@RGNOBJAPI@@QEAAHAEAVRGNOBJ@@@Z
        262   F6 000A7160 ?bCreate@RGNOBJ@@QEAAHAEAVEPATHOBJ@@PEAVEXFORMOBJ@@@Z
        263   F7 0000FC40 ?bCreateDIB@SURFMEM@@QEAAHPEAU_DEVBITMAPINFO@@PEAX1K1_KHHHH@Z
        264   F8 000B0E20 ?bCreatePalette@PALMEMOBJ@@QEAAHKKPEBKKKKKH@Z
        265   F9 00012F00 ?bDeleteRGNOBJAPI@RGNOBJAPI@@QEAAHXZ
        266   FA 00054800 ?bDeleteSurface@SURFACE@@QEAAHW4_CLEANUPTYPE@@H@Z
        267   FB 000A9DB0 ?bEnum@EPATHOBJ@@QEAAHPEAU_PATHDATA@@@Z
        268   FC 0009B040 ?bEqual@RGNOBJ@@QEAAHAEAV1@@Z
        269   FD 0006D820 ?bEqualExceptTranslations@EXFORMOBJ@@QEAAHPEAVMATRIX@@@Z
        270   FE 00015930 ?bExpand@RGNOBJ@@QEAAHK@Z
        271   FF 0007BCC0 ?bFlatten@EPATHOBJ@@QEAAHXZ
        272  100 0009D5A0 ?bIncludeSprites@SURFACE@@SAHXZ
