Microsoft (R) COFF/PE Dumper Version 14.16.27045.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntoskrnl.exe

File Type: EXECUTABLE IMAGE

  Section contains the following exports for ntoskrnl.exe

    00000000 characteristics
    DF7CEC78 time date stamp
        0.00 version
           1 ordinal base
        2894 number of functions
        2887 number of names

    ordinal hint RVA      name

        372  16C 0068BE00 FsRtlAreVolumeStartupApplicationsComplete
        373  16D 006F4B20 FsRtlBalanceReads
        374  16E 006C5E90 FsRtlCancellableWaitForMultipleObjects
        375  16F 006C5860 FsRtlCancellableWaitForSingleObject
        376  170 00168370 FsRtlChangeBackingFileObject
        377  171 00132380 FsRtlCheckLockForOplockRequest
        378  172 0010B4F0 FsRtlCheckLockForReadAccess
        379  173 0010B330 FsRtlCheckLockForWriteAccess
        380  174 0002DB30 FsRtlCheckOplock
        381  175 0002DBE0 FsRtlCheckOplockEx
        382  176 00581640 FsRtlCheckUpperOplock
        383  177 008127C0 FsRtlCopyRead
        384  178 00812A40 FsRtlCopyWrite
        385  179 000DFAB0 FsRtlCreateSectionForDataScan
        386  17A 0066B500 FsRtlCurrentBatchOplock
        387  17B 00168420 FsRtlCurrentOplock
        388  17C 00813AB0 FsRtlCurrentOplockH
        389  17D 008127A0 FsRtlDeleteExtraCreateParameterLookasideList
        390  17E 0067DCA0 FsRtlDeleteKeyFromTunnelCache
        391  17F 006F34A0 FsRtlDeleteTunnelCache
        392  180 00813970 FsRtlDeregisterUncProvider
        393  181 006F4F60 FsRtlDismountComplete
        394  182 00814280 FsRtlDissectDbcs
        395  183 000FD870 FsRtlDissectName
        396  184 00814370 FsRtlDoesDbcsContainWildCards
        397  185 000F58C0 FsRtlDoesNameContainWildCards
        398  186 0010B580 FsRtlFastCheckLockForRead
        399  187 0010B3D0 FsRtlFastCheckLockForWrite
        400  188 001291B0 FsRtlFastUnlockAll
        401  189 0026A6D0 FsRtlFastUnlockAllByKey
        402  18A 000D49D0 FsRtlFastUnlockSingle
        403  18B 005B7B40 FsRtlFindExtraCreateParameter
        404  18C 00617750 FsRtlFindInTunnelCache
        405  18D 0057EEB0 FsRtlFindInTunnelCacheEx
        406  18E 0062D3A0 FsRtlFreeExtraCreateParameter
        407  18F 0062D2E0 FsRtlFreeExtraCreateParameterList
        408  190 00133B30 FsRtlFreeFileLock
        409  191 005BB4F0 FsRtlGetEcpListFromIrp
        410  192 00693E30 FsRtlGetFileNameInformation
        411  193 0063AE90 FsRtlGetFileSize
        412  194 000FBAE0 FsRtlGetIoAtEof
        413  195 0010C900 FsRtlGetNextBaseMcbEntry
        414  196 0068C8F0 FsRtlGetNextExtraCreateParameter
        415  197 0026A740 FsRtlGetNextFileLock
        416  198 00269EB0 FsRtlGetNextLargeMcbEntry
        417  199 00269F20 FsRtlGetNextMcbEntry
        418  19A 006EE300 FsRtlGetSectorSizeInformation
        419  19B 001347D0 FsRtlGetSupportedFeatures
        420  19C 0015E380 FsRtlGetVirtualDiskNestingLevel
        421  19D 00814C20 FsRtlHeatInit
        422  19E 00814D50 FsRtlHeatLogIo
        423  19F 00814E30 FsRtlHeatLogTierMove
        424  1A0 00814E90 FsRtlHeatUninit
        425  1A1 001671F0 FsRtlIncrementCcFastMdlReadWait
        426  1A2 00269DE0 FsRtlIncrementCcFastReadNoWait
        427  1A3 0068A1B0 FsRtlIncrementCcFastReadNotPossible
        428  1A4 00269DF0 FsRtlIncrementCcFastReadResourceMiss
        429  1A5 00670470 FsRtlIncrementCcFastReadWait
        430  1A6 0074F630 FsRtlInitExtraCreateParameterLookasideList
        431  1A7 00002E70 FsRtlInitializeBaseMcb
        432  1A8 00002E90 FsRtlInitializeBaseMcbEx
        433  1A9 00117630 FsRtlInitializeEofLock
        434  1AA 006F4AE0 FsRtlInitializeExtraCreateParameter
        435  1AB 006F4BB0 FsRtlInitializeExtraCreateParameterList
        436  1AC 00135050 FsRtlInitializeFileLock
        437  1AD 0012D960 FsRtlInitializeLargeMcb
        438  1AE 00813930 FsRtlInitializeMcb
        439  1AF 006C6CB0 FsRtlInitializeOplock
        440  1B0 006F2840 FsRtlInitializeTunnelCache
        441  1B1 0062D850 FsRtlInsertExtraCreateParameter
        442  1B2 00123E80 FsRtlInsertPerFileContext
        443  1B3 000D58F0 FsRtlInsertPerFileObjectContext
        444  1B4 00113500 FsRtlInsertPerStreamContext
        445  1B5 00269E00 FsRtlIsDaxVolume
        446  1B6 008143E0 FsRtlIsDbcsInExpression
        447  1B7 00673DE0 FsRtlIsEcpAcknowledged
        448  1B8 00672B30 FsRtlIsEcpFromUserMode
        449  1B9 00814040 FsRtlIsExtentDangling
        450  1BA 0067A380 FsRtlIsFatDbcsLegal
        451  1BB 00814A20 FsRtlIsHpfsDbcsLegal
        452  1BC 006CF310 FsRtlIsMobileOS
        453  1BD 000F52A0 FsRtlIsNameInExpression
        454  1BE 000F5330 FsRtlIsNameInUnUpcasedExpression
        455  1BF 0012E880 FsRtlIsNonEmptyDirectoryReparsePointAllowed
        456  1C0 001296F0 FsRtlIsNtstatusExpected
        457  1C1 00116230 FsRtlIsPagingFile
        458  1C2 0013D720 FsRtlIsSystemPagingFile
        459  1C3 00094770 FsRtlIsTotalDeviceFailure
        460  1C4 006EE6F0 FsRtlIssueDeviceIoControl
        461  1C5 006641D0 FsRtlKernelFsControlFile
        462  1C6 00351DC0 FsRtlLegalAnsiCharacterArray
        463  1C7 00812F90 FsRtlLogCcFlushError
        464  1C8 001084D0 FsRtlLookupBaseMcbEntry
        465  1C9 00269F90 FsRtlLookupLargeMcbEntry
        466  1CA 001161B0 FsRtlLookupLastBaseMcbEntry
        467  1CB 0012A410 FsRtlLookupLastBaseMcbEntryAndIndex
        468  1CC 0026A040 FsRtlLookupLastLargeMcbEntry
        469  1CD 0026A0C0 FsRtlLookupLastLargeMcbEntryAndIndex
        470  1CE 0026A150 FsRtlLookupLastMcbEntry
        471  1CF 0026A1A0 FsRtlLookupMcbEntry
        472  1D0 0010EC50 FsRtlLookupPerFileContext
        473  1D1 00107B60 FsRtlLookupPerFileObjectContext
        474  1D2 00032320 FsRtlLookupPerStreamContextInternal
        475  1D3 0068B6B0 FsRtlMdlRead
        476  1D4 00269E30 FsRtlMdlReadComplete
        477  1D5 000C8DB0 FsRtlMdlReadCompleteDev
        478  1D6 008131F0 FsRtlMdlReadDev
        479  1D7 0068B630 FsRtlMdlReadEx
        480  1D8 008133E0 FsRtlMdlWriteComplete
        481  1D9 006879A0 FsRtlMdlWriteCompleteDev
        482  1DA 008139D0 FsRtlMupGetProviderIdFromName
        483  1DB 00813A00 FsRtlMupGetProviderInfoFromFileObject
        484  1DC 0013DFD0 FsRtlNormalizeNtstatus
        485  1DD 008152C0 FsRtlNotifyChangeDirectory
        486  1DE 00669320 FsRtlNotifyCleanup
        487  1DF 00815320 FsRtlNotifyCleanupAll
        488  1E0 00668500 FsRtlNotifyFilterChangeDirectory
        489  1E1 00669000 FsRtlNotifyFilterChangeDirectoryLite
        490  1E2 00667BD0 FsRtlNotifyFilterReportChange
        491  1E3 008153F0 FsRtlNotifyFilterReportChangeLite
        492  1E4 00668860 FsRtlNotifyFilterReportChangeLiteEx
        493  1E5 00815450 FsRtlNotifyFullChangeDirectory
        494  1E6 008154C0 FsRtlNotifyFullReportChange
        495  1E7 00669490 FsRtlNotifyInitializeSync
        496  1E8 00815520 FsRtlNotifyReportChange
        497  1E9 00691390 FsRtlNotifyUninitializeSync
        498  1EA 006F2A90 FsRtlNotifyVolumeEvent
        499  1EB 006A0760 FsRtlNotifyVolumeEventEx
